name,achieved score,total score,time
k,1,1,2019-05-06 15:58:31.705357
k,0,0,2019-05-07 23:37:33.618416
k,0,0,2019-05-07 23:38:35.244220
k,0,2,2019-05-07 23:39:43.279613
